영화명,매출액,관객수,대표국적,배급사,제작국가,감독,장르1,장르2,장르3,장르4,장르5,장르6,장르7
의형제,40153729000,5416812,3,2.9,한국,2.1,드라마,스릴러,SF,액션,어드벤처,,
블랙 팬서,45885123957,5399227,2,2.5,미국,라이언 쿠글러,멜로/로맨스,판타지,뮤지컬,,,,
,,,0,,,,드라마,,,,,,
더 킹,43488814535,5317693,3,2.8,"미국,영국",제임스 마쉬,액션,,,,,,
,,,0,,,,코미디,,,,,,
완득이,38526161500,5309928,3,3,한국,이한,범죄,액션,,,,,
트랜스포머: 사라진 시대,44012752845,5295836,2,3,미국,2.9,애니메이션,액션,어드벤처,코미디,가족,,
월드 워 Z,38555356000,5237525,2,2,미국,마크 포스터,범죄,스릴러,액션,,,,
,,,0,,,,액션,,,,,,
미녀와 야수,42133751579,5138328,2,2.5,미국,빌 콘돈,드라마,,,,,,
,,,0,,,,애니메이션,코미디,,,,,
히말라야,39469775448,5129409,3,3,한국,1.7,액션,어드벤처,코미디,,,,
미션 임파서블 3,32154883400,5127003,2,1,미국,J.J. 에이브럼스,액션,범죄,,,,,
투사부일체,31959686000,5074314,3,2.6,한국,김동원,코미디,사극,,,,,
독전,43484892913,5063620,3,2.8,한국,이해영,액션,어드벤처,SF,,,,
쿵푸팬더 2,44298708500,5062720,2,3,미국,여인영,액션,어드벤처,판타지,SF,,,
추격자,33986959000,5046096,3,2.9,한국,0.5,액션,,,,,,
미션임파서블:고스트프로토콜,37765048000,4975161,2,3,미국,브래드 버드,코미디,액션,,,,,
공작,42788445176,4974467,3,3,한국,0.9,사극,액션,,,,,
인사이드 아웃,38024694936,4969735,2,2.5,미국,피트 닥터,범죄,드라마,,,,,
킹스맨: 골든 서클,40987484736,4945484,2,1.6,"미국,영국",0.7,애니메이션,액션,어드벤처,,,,
마스터,39784641065,4935320,3,3,한국,조의석,액션,SF,,,,,
바람과 함께 사라지다,34614661161,4909937,3,2.8,한국,김주호,범죄,액션,,,,,
마션,39663145295,4880800,2,1.6,미국,0.3,드라마,,,,,,
토르: 라그나로크,39227691395,4853778,2,2.5,미국,타이카 와이티티,어드벤처,가족,판타지,,,,
어메이징 스파이더맨,41163951235,4853123,2,1.7,미국,마크 웹,애니메이션,코미디,액션,가족,,,
조선명탐정 : 각시투구꽃의 비밀,35841769500,4786259,3,2.9,한국,김석윤,드라마,코미디,,,,,
군도: 민란의 시대,36988022499,4774931,3,2.9,한국,0.9,코미디,멜로/로맨스,,,,,
범죄와의 전쟁: 나쁜놈들 전성시대,36538823500,4719872,3,2.9,한국,0.9,액션,코미디,어드벤처,판타지,,,
주토피아,37096057742,4706158,2,2.5,미국,"바이론 하워드,리치 무어",멜로/로맨스,뮤지컬,,,,,
엣지 오브 투모로우,38732961201,4699307,2,2.2,미국,더그 라이만,코미디,,,,,,
신세계,34881330905,4682492,3,2.8,한국,박훈정,공포(호러),SF,,,,,
도가니,35566854800,4662822,3,3,한국,1.4,SF,액션,,,,,
신비한 동물사전,39300515858,4662534,2,2.2,"미국,영국",2,SF,액션,어드벤처,,,,
쿵푸 팬더,29996476000,4653929,2,2.6,미국,"마크 오스본,존 스티븐슨",판타지,미스터리,,,,,
완벽한 타인,38780215974,4623018,3,2.7,한국,이재규,코미디,,,,,,
내 아내의 모든 것,34223620500,4598821,3,2.8,한국,민규동,액션,판타지,SF,어드벤처,,,
캐리비안의 해적: 세상의 끝에서,29133447500,4571229,2,1.7,미국,고어 버빈스키,드라마,스릴러,,,,,
맘마미아!,29571255750,4552475,2,1.4,미국,필리다 로이드,드라마,액션,,,,,
가문의 위기(가문의 영광2),28622355500,4529876,3,2.9,한국,정용기,SF,드라마,액션,,,,
연가시,32175400664,4515833,3,3,한국,박정우,스릴러,드라마,,,,,
터미네이터 : 미래전쟁의 시작,29690943500,4499776,2,2,미국,맥지,드라마,,,,,,
아이언맨 2,32635195500,4425003,2,2.6,미국,존 파브로,액션,판타지,,,,,
해리포터와 죽음의 성물2,34507600000,4400270,2,2.2,미국,2,액션,어드벤처,,,,,
과속스캔들,28506879500,4361509,3,2,한국,1.1,멜로/로맨스,드라마,,,,,
엑스맨: 데이즈 오브 퓨처 패스트,34654558766,4313871,2,1.6,미국,1,액션,어드벤처,판타지,,,,
판도라,33955398164,4313864,3,2.8,한국,박정우,범죄,드라마,액션,미스터리,,,
강철중: 공공의 적 1-1,28638460100,4313101,3,"2.6,2.1",한국,1.6,코미디,드라마,,,,,
아이언맨,27798047000,4290816,2,2.6,미국,존 파브로,코미디,액션,드라마,범죄,,,
아가씨,35211229991,4287839,3,3,한국,박찬욱,드라마,,,,,,
말아톤,26284943000,4196840,3,2.9,한국,정윤철,범죄,,,,,,
어메이징 스파이더맨 2,34869101800,4168353,2,2.3,미국,마크 웹,드라마,,,,,,
인디아나 존스 4 : 크리스탈 해골의 왕국,26689440000,4111753,2,2.6,미국,0.2,액션,드라마,,,,,
건축학개론,30222696000,4111068,3,2,한국,이용주,액션,드라마,SF,스릴러,,,
미이라 3:황제의 무덤,26217311000,4090885,2,1.4,미국,롭 코헨,애니메이션,액션,어드벤처,,,,
다크 나이트,26878184500,4060490,2,"주식회사 해리슨앤컴퍼니,2.2",미국,2.6,액션,어드벤처,SF,,,,
댄싱퀸,30130775500,4058225,3,3,한국,1.7,액션,코미디,어드벤처,판타지,,,
7급 공무원,26380710000,4039891,3,2,한국,신태라,코미디,,,,,,
우리 생애 최고의 순간,26113394000,4018059,3,(주)싸이더스,한국,임순례,액션,SF,스릴러,,,,
꾼,31312029795,4018035,3,2.9,한국,장창원,사극,코미디,어드벤처,,,,
타짜-신의 손,32373120927,4015361,3,"2,(주)싸이더스",한국,1.1,사극,,,,,,
강철비,31994897566,4014293,3,2.8,한국,양우석,사극,드라마,,,,,
혹성탈출: 반격의 서막,31514053095,4002560,2,1.6,미국,맷 리브스,다큐멘터리,,,,,,
쿵푸팬더3,31340798156,3984812,2,3,미국,"여인영,알레산드로 칼로니",액션,어드벤처,스릴러,,,,
캡틴 아메리카: 윈터 솔져,31711040385,3963251,2,2.3,미국,"조 루소,안소니 루소",범죄,드라마,,,,,
캐리비안의 해적 : 망자의 함,23832939000,3911617,2,브에나비스타인터내셔널코리아,미국,고어 버빈스키,액션,어드벤처,코미디,SF,,,
박수건달,28343986569,3893216,3,2.9,한국,조진규,사극,드라마,액션,전쟁,,,
베놈,34099025807,3887917,2,1.8,미국,루벤 플레셔,판타지,액션,어드벤처,,,,
조선명탐정 : 사라진 놉의 딸,30456879428,3872015,3,2.9,한국,김석윤,액션,어드벤처,판타지,,,,
,,,0,,,,드라마,,,,,,
역린,29894266890,3849552,3,2,한국,이재규,액션,범죄,스릴러,,,,
남한산성,31225083792,3849087,3,3,한국,1.4,애니메이션,드라마,멜로/로맨스,,,,
"님아, 그 강을 건너지 마오",29845829479,3846378,3,"CGV아트하우스,(주)대명문화공장",한국,진모영,액션,코미디,판타지,,,,
매드 맥스: 분노의 도로,32912842162,3843343,2,2.2,"미국,호주",조지 밀러,코미디,,,,,,
암수살인,32993326548,3788982,3,2.9,한국,김태균,드라마,판타지,,,,,
데드풀 2,34185664639,3784602,2,1.6,미국,데이빗 레이치,액션,드라마,SF,,,,
신기전,24326353000,3728430,3,2.6,한국,김유진,범죄,액션,,,,,
해리 포터와 불사조 기사단,22899775300,3691060,2,2.2,미국,2,애니메이션,,,,,,
미이라,30504689978,3689325,2,1.4,미국,알렉스 커츠먼,드라마,,,,,,
보헤미안 랩소디,32323677271,3689059,2,1.6,미국,1,액션,스릴러,범죄,,,,
분노의 질주: 더 익스트림,29981156348,3653238,2,1.4,"미국,일본,프랑스,캐나다",F. 게리 그레이,액션,,,,,,
너의 이름은.,29251793156,3637608,1,1.1,일본,신카이 마코토,멜로/로맨스,,,,,,
전우치,26345113000,3611472,3,2.6,한국,3,코미디,드라마,,,,,
인턴,28517727148,3610564,2,2.2,미국,낸시 마이어스,액션,코미디,SF,,,,
귀향,27249738990,3587173,3,(주)와우픽쳐스,한국,안선경,드라마,스릴러,,,,,
,,,0,,,,드라마,액션,,,,,
,,,0,,,,드라마,전쟁,,,,,
리얼 스틸,26566677000,3579666,2,1.7,미국,숀 레비,애니메이션,,,,,,
신의 한 수,28812027456,3566852,3,2.9,한국,조범구,액션,SF,,,,,
코코,27685609440,3510040,2,2.5,미국,리 언크리치,판타지,,,,,,
부러진 화살,25878629500,3451025,3,2.8,한국,정지영,드라마,,,,,,
끝까지 간다,27007303900,3450305,3,2.9,한국,1.9,코미디,,,,,,
스파이,24509278305,3435802,3,3,한국,이승준,액션,범죄,스릴러,,,,
,,,0,,,,액션,어드벤처,SF,스릴러,,,
비긴 어게인,27098834504,3427524,2,판씨네마(주),미국,존 카니,멜로/로맨스,코미디,,,,,
그것만이 내 세상,27447949382,3418861,3,3,한국,최성현,SF,드라마,액션,스릴러,,,
맨 인 블랙 3,27301520070,3379762,2,1.7,미국,배리 소넨필드,드라마,,,,,,
이끼,25437300500,3350303,3,2.6,한국,1.6,SF,드라마,,,,,
한반도,20597497600,3331593,3,2.6,한국,1.6,공포(호러),스릴러,드라마,,,,
포화속으로,23831958600,3330324,3,2,한국,0.1,액션,,,,,,
슈퍼배드 3,24217091019,3324874,2,1.4,미국,"피에르 꼬팽,카일 발다",드라마,,,,,,
데드풀,27595618651,3317196,2,1.6,미국,팀 밀러,코미디,범죄,,,,,
해리포터와 불의 잔,20628374500,3301353,2,2.2,미국,마이크 뉴웰,드라마,,,,,,
쌍화점,22493822400,3296474,3,2.9,한국,유하,액션,판타지,,,,,
아이 캔 스피크,25526451186,3279296,3,"2,(주)리틀빅픽쳐스",한국,김현석,코미디,액션,,,,,
분노의 질주: 더 세븐,26454098694,3247955,2,1.4,미국,제임스 완,스릴러,,,,,,
터미네이터 제니시스,26556715129,3240370,2,2,미국,앨런 테일러,드라마,어드벤처,액션,,,,
미녀는 괴로워,18919439500,3224865,3,2.9,한국,2.7,범죄,액션,,,,,
아일랜드,20363994500,3218811,2,2.2,미국,2.9,액션,어드벤처,판타지,코미디,,,
레미제라블,23428605500,3210107,2,1.4,미국,톰 후퍼,코미디,드라마,,,,,
그래비티,31214018600,3194693,2,"주식회사 해리슨앤컴퍼니,2.2",미국,알폰소 쿠아론,액션,어드벤처,판타지,,,,
마녀,27242029463,3189091,3,2.2,한국,유영선,드라마,액션,,,,,
,,,0,,,,애니메이션,액션,어드벤처,코미디,가족,,
다이 하드 4 : 죽어도 산다,20622308900,3176937,2,1.3,미국,렌 와이즈먼,드라마,액션,범죄,,,,
타워,22996601500,3166425,3,3,한국,김지훈,미스터리,스릴러,,,,,
탐정: 리턴즈,26909465678,3152873,3,3,한국,이언희,드라마,,,,,,
공공의 적 2,20091127000,3134421,3,2.1,한국,1.6,액션,코미디,범죄,,,,
캐리비안의 해적: 낯선 조류,27279967500,3130046,2,1.7,미국,롭 마샬,애니메이션,액션,어드벤처,,,,
퀵,22960890000,3125069,3,3,한국,조범구,사극,코미디,멜로/로맨스,,,,
친절한 금자씨,20483051393,3119682,3,2.6,한국,박찬욱,코미디,드라마,,,,,
감기,21774884000,3117859,3,아이러브시네마,한국,김성수,드라마,,,,,,
나우 유 씨 미 2,25116690113,3100113,2,2,미국,존 추,드라마,스릴러,,,,,
캐리비안의 해적: 죽은 자는 말이 없다,24975495122,3049894,2,2.5,미국,"요아킴 뢰닝,에스펜 샌버그",액션,,,,,,
스물,23563421686,3044811,3,2.8,한국,이병헌,드라마,,,,,,
토르: 다크 월드,22525808500,3039889,2,2.3,미국,앨런 테일러,멜로/로맨스,액션,어드벤처,스릴러,,,
태풍,19372557600,3035086,3,2.6,한국,곽경택,어드벤처,액션,가족,,,,
인크레더블 2,24554683588,3033052,2,2.5,미국,브래드 버드,드라마,,,,,,
거북이 달린다,20618276000,3024666,3,2.9,한국,이연우,드라마,전쟁,,,,,
다빈치 코드,18873057800,3022936,2,소니픽쳐스릴리징코리아,미국,론 하워드,액션,드라마,,,,,
하모니,21641750000,3018131,3,2.6,한국,강대규,액션,어드벤처,판타지,SF,,,
레드: 더 레전드,21511371970,3004649,2,2,미국,딘 패리소트,다큐멘터리,,,,,,
드래곤 길들이기 2,23979935189,3000056,2,3,미국,딘 데블로이스,범죄,액션,,,,,
방자전,22490024000,2985483,3,2.6,한국,김대우,스릴러,액션,,,,,
형,23113768293,2979659,3,3,한국,권수경,드라마,범죄,,,,,
마더,19967362500,2979213,3,2.6,한국,2.3,스릴러,액션,,,,,
그놈 목소리,17598617600,2972299,3,2.6,한국,박진표,멜로/로맨스,코미디,,,,,
친구 2,21795237513,2969900,3,2,한국,곽경택,액션,드라마,,,,,
식객,18972140500,2963196,3,2.6,한국,전윤수,액션,SF,,,,,
미스터 & 미세스 스미스,18900071500,2963193,2,1.3,미국,더그 라이만,애니메이션,코미디,어드벤처,가족,판타지,,
해리 포터와 혼혈 왕자,20267293000,2957706,2,2.2,미국,2,멜로/로맨스,,,,,,
서치,25282164845,2949744,2,1.8,미국,아니쉬 차간티,액션,미스터리,SF,스릴러,,,
고지전,21968557600,2945137,3,2.9,한국,2.1,액션,어드벤처,판타지,,,,
26년,21111878145,2940475,3,"(주)인벤트스톤,영화사청어람(주)",한국,조근현,애니메이션,액션,코미디,,,,
엑스맨: 아포칼립스,24467887950,2938818,2,1.6,미국,1,액션,드라마,스릴러,전쟁,,,
워낭소리,19074728900,2933897,3,㈜인디스토리,한국,이충렬,공포(호러),멜로/로맨스,코미디,,,,
프리즌,23790276987,2931897,3,2.9,한국,나현,액션,SF,드라마,,,,
솔트,21360288000,2869938,2,1.7,미국,필립 노이스,액션,SF,스릴러,,,,
극비수사,22389535897,2860786,3,2.9,한국,곽경택,액션,SF,,,,,
원티드,19249245000,2858720,2,1.4,미국,티무르 베크맘베토브,액션,스릴러,,,,,
,,,0,,,,범죄,드라마,,,,,
어바웃 타임,20908973000,2856065,0,1.4,영국,리차드 커티스,액션,드라마,코미디,,,,
표적,22256769300,2841828,3,3,한국,창,범죄,액션,스릴러,,,,
앤트맨,23529209937,2841795,2,2.5,"미국,영국",페이튼 리드,미스터리,판타지,,,,,
슈렉3,17896938500,2826621,2,2.6,미국,"크리스 밀러,라맨 허",드라마,,,,,,
너의 결혼식,23674540369,2820685,3,1.1,한국,이석근,멜로/로맨스,,,,,,
메이즈 러너,21489367677,2812427,2,1.6,미국,웨스 볼,액션,전쟁,드라마,사극,,,
스타워즈: 깨어난 포스,24149478540,2803234,2,2.5,미국,J.J. 에이브럼스,멜로/로맨스,코미디,,,,,
빅 히어로,21993119765,2801949,2,2.5,미국,"돈 홀,크리스 윌리암스",공포(호러),스릴러,,,,,
덩케르크,24550541348,2788732,2,2.2,"미국,영국",2.6,액션,,,,,,
오싹한 연애,20289813500,2777998,3,3,한국,황인호,범죄,스릴러,,,,,
혹성탈출: 진화의 시작,20629757000,2773794,2,1.6,미국,루퍼트 와이어트,드라마,판타지,멜로/로맨스,,,,
메이즈 러너: 스코치 트라이얼,21596946349,2744413,2,1.6,미국,웨스 볼,드라마,액션,SF,스릴러,,,
가디언즈 오브 갤럭시 VOL. 2,23452686686,2735721,2,2.5,미국,제임스 건,액션,어드벤처,판타지,,,,
내가 살인범이다,20392266000,2729798,3,2.9,한국,정병길,코미디,,,,,,
부당거래,20996302500,2722996,3,2.6,한국,2.8,사극,멜로/로맨스,,,,,
핸콕,17844690500,2722574,2,1.7,미국,피터 버그,코미디,범죄,,,,,
나우 유 씨 미 : 마술사기단,19146691869,2718227,2,2,미국,루이스 리테리어,애니메이션,,,,,,
미스 페레그린과 이상한 아이들의 집,21841214586,2718158,2,1.6,"미국,벨기에,영국",팀 버튼,액션,어드벤처,SF,,,,
소원,18529862600,2711083,3,2,한국,2.5,액션,스릴러,,,,,
,,,0,,,,어드벤처,판타지,,,,,
너는 내 운명,17653752500,2701230,3,2.6,한국,박진표,멜로/로맨스,,,,,,
적벽대전 2 : 최후의 결전,17782372500,2694436,0,2.9,중국,오우삼,애니메이션,어드벤처,코미디,,,,
시라노; 연애조작단,19838369000,2684783,3,2,한국,김현석,코미디,,,,,,
곤지암,21442194144,2675575,3,2.9,한국,정범식,코미디,멜로/로맨스,,,,,
지.아이.조 : 전쟁의 서막,19583497500,2665874,2,2.6,미국,스티븐 소머즈,범죄,액션,,,,,
살인자의 기억법,21375287492,2658589,3,2.9,한국,원신연,범죄,코미디,,,,,
브레이킹 던 part2,18909583065,2654817,2,2.8,미국,빌 콘돈,애니메이션,코미디,어드벤처,가족,,,
우주전쟁,16758594690,2642874,2,1,미국,0.2,코미디,드라마,,,,,
타이탄,21796996500,2642483,2,2.2,미국,루이스 리테리어,전쟁,드라마,,,,,
마파도,16751202503,2636857,3,2.6,한국,1.3,액션,SF,어드벤처,,,,
후궁 : 제왕의 첩,19330302500,2636320,3,2,한국,김대승,어드벤처,드라마,,,,,
,,,0,,,,드라마,코미디,,,,,
탐정 : 더 비기닝,20463956973,2625686,3,3,한국,김정훈,액션,,,,,,
미니언즈,18998046278,2625599,2,1.4,미국,"피에르 꼬팽,카일 발다",공포(호러),미스터리,,,,,
트랜스포머: 최후의 기사,21501959228,2614601,2,2,미국,2.9,애니메이션,코미디,가족,,,,
제이슨 본,21253434663,2611966,2,1.4,미국,폴 그린그래스,범죄,액션,,,,,
호빗: 뜻밖의 여정,21724069066,2605124,2,2.2,"미국,뉴질랜드",피터 잭슨,어드벤처,판타지,,,,,
지금 만나러 갑니다,20800916128,2602273,3,2,한국,이2.1,드라마,,,,,,
도리를 찾아서,20703899933,2601734,2,2.5,미국,앤드류 스탠튼,애니메이션,코미디,가족,,,,
가문의 부활 - 가문의 영광3,15996330400,2598859,3,2.9,한국,정용기,사극,어드벤처,코미디,,,,
위험한 상견례,19174920500,2595625,3,2,한국,김진영,미스터리,,,,,,
아수라,20576226662,2594028,3,3,한국,김성수,스릴러,,,,,,
,,,0,,,,드라마,,,,,,
보안관,20844488409,2588628,3,2,한국,김형주,미스터리,판타지,,,,,
드래곤 길들이기,27040606000,2562412,2,2.6,미국,딘 데블로이스,액션,스릴러,,,,,
굿모닝 프레지던트,18567863300,2554960,3,2.6,한국,장진,스릴러,,,,,,
태극기 휘날리며,15687180500,2544911,3,2.9,한국,강제규,드라마,뮤지컬,멜로/로맨스,,,,
퍼시픽 림,20477374512,2539113,2,2.2,미국,길예르모 델 토로,액션,,,,,,
정글북,21517647134,2537438,2,2.5,미국,존 파브로,코미디,,,,,,
,,,0,,,,스릴러,,,,,,
1번가의 기적,15494034100,2535431,3,2.6,한국,2.2,드라마,,,,,,
엑스맨: 퍼스트 클래스,19075363000,2533852,2,1.6,미국,0.7,범죄,스릴러,액션,,,,
,,,0,,,,사극,드라마,멜로/로맨스,,,,
목격자,21736545097,2524634,3,2.8,러시아,스브야토슬라브 포드가에브스키,코미디,어드벤처,,,,,
,,,0,,,,SF,드라마,액션,,,,
마이펫의 이중생활,19406436655,2520670,2,1.4,미국,크리스 리노드,액션,드라마,스릴러,,,,
조작된 도시,20143992587,2515501,3,3,한국,박광현,애니메이션,,,,,,
호빗: 다섯 군대 전투,21428483344,2509887,2,2.2,"미국,뉴질랜드",피터 잭슨,액션,범죄,드라마,,,,
우리들의 행복한 시간,14938308000,2472035,3,(주)프라임엔터테인먼트,한국,송해성,사극,코미디,,,,,
,,,0,,,,액션,SF,스릴러,,,,
보스 베이비,18936306704,2452245,2,3,미국,톰 맥그라스,판타지,드라마,액션,어드벤처,,,
조선명탐정: 흡혈괴마의 비밀,19822839764,2444145,3,2.9,한국,김석윤,뮤지컬,,,,,,
화차,18459428000,2436438,3,필라멘트픽쳐스,한국,변영주,액션,스릴러,미스터리,,,,
이웃사람,18088462369,2434269,3,2,한국,김휘,멜로/로맨스,,,,,,
재심,19266319637,2421197,3,"오퍼스픽쳐스,CGV아트하우스",한국,김태윤,스릴러,멜로/로맨스,,,,,
해리 포터와 죽음의 성물1,16974636000,2396988,2,2.2,미국,2,공포(호러),스릴러,,,,,
화이: 괴물을 삼킨 아이,17695412795,2394453,3,2.9,한국,장준환,액션,어드벤처,판타지,,,,
의뢰인,17797042500,2393086,3,2.9,한국,손영성,액션,SF,어드벤처,,,,
라라랜드,19996139232,2385108,2,판씨네마(주),미국,데이미언 셔젤,액션,코미디,,,,,
007 스카이폴,17487213000,2376145,2,2.3,"미국,영국",샘 멘데스,SF,액션,스릴러,,,,
가문의 영광4 - 가문의 수난,17792219500,2368267,3,2.8,한국,정태원,SF,액션,,,,,
블라인드,18390012500,2367942,3,2.8,한국,안상훈,애니메이션,코미디,가족,,,,
,,,0,,,,드라마,어드벤처,,,,,
박열,18093639795,2359206,3,1.1,한국,2.5,공포(호러),드라마,,,,,
테이큰,15971449000,2359061,0,㈜스튜디오이쩜영,프랑스,피에르 모렐,액션,어드벤처,,,,,
미인도,15652272500,2341521,3,2.6,한국,전윤수,애니메이션,,,,,,
박물관이 살아있다!,13344327300,2336453,2,1.6,미국,숀 레비,스릴러,,,,,,
나는 전설이다,15166253000,2322318,2,2.2,미국,프란시스 로렌스,액션,드라마,,,,,
,,,0,,,,SF,,,,,,
,,,0,,,,액션,스릴러,,,,,
포세이돈,14588094300,2316695,2,2.2,미국,볼프강 페터젠,액션,SF,,,,,
,,,0,,,,액션,어드벤처,판타지,SF,,,
모아나,18056417307,2310206,2,2.5,미국,"론 클레멘츠,존 머스커",공연,,,,,,
